1 2
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -7.309926e-01, e+1: -2.467648e-01, T: 7.4928e-01, no:       0, try:      1500000
emin+1: -7.309926e-01, e+1: -2.551453e-01, T: 6.3096e-01, no:       0, try:      3000000
emin+1: -7.313093e-01, e+1: -2.660244e-01, T: 4.7276e-01, no:       1, try:      4500000
emin+1: -7.314331e-01, e+1: -2.779760e-01, T: 3.9811e-01, no:       0, try:      6000000
emin+1: -7.314331e-01, e+1: -2.930021e-01, T: 2.9829e-01, no:       2, try:      7500000
emin+1: -7.314670e-01, e+1: -3.125078e-01, T: 2.5119e-01, no:       1, try:      9000000
emin+1: -7.314670e-01, e+1: -3.392177e-01, T: 1.8821e-01, no:       1, try:     10500000
emin+1: -7.315759e-01, e+1: -3.704122e-01, T: 1.5849e-01, no:       1, try:     12000000
emin+1: -7.316639e-01, e+1: -4.121471e-01, T: 1.1875e-01, no:       0, try:     13500000
emin+1: -7.316639e-01, e+1: -4.535132e-01, T: 1.0000e-01, no:       7, try:     15000000
emin+1: -7.319795e-01, e+1: -5.037210e-01, T: 7.4928e-02, no:       0, try:     16500000
emin+1: -7.319795e-01, e+1: -5.477953e-01, T: 6.3096e-02, no:       0, try:     18000000
emin+1: -7.319795e-01, e+1: -5.904771e-01, T: 4.7276e-02, no:       0, try:     19500000
emin+1: -7.319795e-01, e+1: -6.229250e-01, T: 3.9811e-02, no:       1, try:     21000000
emin+1: -7.319884e-01, e+1: -6.483871e-01, T: 2.9829e-02, no:       3, try:     22500000
emin+1: -7.319884e-01, e+1: -6.668834e-01, T: 2.5119e-02, no:       2, try:     24000000
emin+1: -7.319884e-01, e+1: -6.812999e-01, T: 1.8821e-02, no:       0, try:     25500000
emin+1: -7.319921e-01, e+1: -6.912413e-01, T: 1.5849e-02, no:       5, try:     27000000
emin+1: -7.320045e-01, e+1: -6.999650e-01, T: 1.1875e-02, no:       1, try:     28500000
emin+1: -7.320403e-01, e+1: -7.062841e-01, T: 1.0000e-02, no:       0, try:     30000000
emin+1: -7.320417e-01, e+1: -7.115635e-01, T: 7.4928e-03, no:       0, try:     31500000
emin+1: -7.320491e-01, e+1: -7.155349e-01, T: 6.3096e-03, no:       2, try:     33000000
emin+1: -7.320491e-01, e+1: -7.188234e-01, T: 4.7276e-03, no:       1, try:     34500000
emin+1: -7.320491e-01, e+1: -7.214232e-01, T: 3.9811e-03, no:       0, try:     36000000
emin+1: -7.320491e-01, e+1: -7.235636e-01, T: 2.9829e-03, no:       0, try:     37500000
emin+1: -7.320491e-01, e+1: -7.251822e-01, T: 2.5119e-03, no:       7, try:     39000000
emin+1: -7.320491e-01, e+1: -7.265725e-01, T: 1.8821e-03, no:       0, try:     40500000
emin+1: -7.320491e-01, e+1: -7.276207e-01, T: 1.5849e-03, no:      12, try:     42000000
emin+1: -7.320491e-01, e+1: -7.285488e-01, T: 1.1875e-03, no:       0, try:     43500000
emin+1: -7.320491e-01, e+1: -7.292293e-01, T: 1.0000e-03, no:       1, try:     45000000
emin+1: -7.320491e-01, e+1: -7.298025e-01, T: 7.4928e-04, no:      20, try:     46500000
emin+1: -7.320491e-01, e+1: -7.302542e-01, T: 6.3096e-04, no:       4, try:     48000000
emin+1: -7.320491e-01, e+1: -7.306260e-01, T: 4.7276e-04, no:       4, try:     49500000
emin+1: -7.320491e-01, e+1: -7.308993e-01, T: 3.9811e-04, no:       0, try:     51000000
emin+1: -7.320498e-01, e+1: -7.311406e-01, T: 2.9829e-04, no:      23, try:     52500000
emin+1: -7.320498e-01, e+1: -7.313260e-01, T: 2.5119e-04, no:       5, try:     54000000
emin+1: -7.320501e-01, e+1: -7.314766e-01, T: 1.8821e-04, no:     151, try:     55500000
emin+1: -7.320501e-01, e+1: -7.315898e-01, T: 1.5849e-04, no:     127, try:     57000000
emin+1: -7.320503e-01, e+1: -7.316833e-01, T: 1.1875e-04, no:       9, try:     58500000
emin+1: -7.320505e-01, e+1: -7.317609e-01, T: 1.0000e-04, no:       9, try:     60000000
emin+1: -7.320505e-01, e+1: -7.318205e-01, T: 7.4928e-05, no:       7, try:     61500000
emin+1: -7.320505e-01, e+1: -7.318658e-01, T: 6.3096e-05, no:      28, try:     63000000
emin+1: -7.320505e-01, e+1: -7.319033e-01, T: 4.7276e-05, no:      26, try:     64500000
emin+1: -7.320506e-01, e+1: -7.319339e-01, T: 3.9811e-05, no:       5, try:     66000000
emin+1: -7.320507e-01, e+1: -7.319582e-01, T: 2.9829e-05, no:       8, try:     67500000
emin+1: -7.320507e-01, e+1: -7.319768e-01, T: 2.5119e-05, no:       9, try:     69000000
emin+1: -7.320507e-01, e+1: -7.319930e-01, T: 1.8821e-05, no:     109, try:     70500000
emin+1: -7.320507e-01, e+1: -7.320044e-01, T: 1.5849e-05, no:     122, try:     72000000
emin+1: -7.320507e-01, e+1: -7.320139e-01, T: 1.1875e-05, no:     126, try:     73500000
emin+1: -7.320507e-01, e+1: -7.320213e-01, T: 1.0000e-05, no:      54, try:     75000000
emin+1: -7.320508e-01, e+1: -7.320279e-01, T: 7.4928e-06, no:       7, try:     76500000
emin+1: -7.320508e-01, e+1: -7.320320e-01, T: 6.3096e-06, no:      17, try:     78000000
emin+1: -7.320508e-01, e+1: -7.320365e-01, T: 4.7276e-06, no:      49, try:     79500000
emin+1: -7.320508e-01, e+1: -7.320391e-01, T: 3.9811e-06, no:     546, try:     81000000
emin+1: -7.320508e-01, e+1: -7.320415e-01, T: 2.9829e-06, no:     164, try:     82500000
emin+1: -7.320508e-01, e+1: -7.320435e-01, T: 2.5119e-06, no:     277, try:     84000000
emin+1: -7.320508e-01, e+1: -7.320451e-01, T: 1.8821e-06, no:     200, try:     85500000
emin+1: -7.320508e-01, e+1: -7.320461e-01, T: 1.5849e-06, no:      12, try:     87000000
emin+1: -7.320508e-01, e+1: -7.320472e-01, T: 1.1875e-06, no:     358, try:     88500000
emin+1: -7.320508e-01, e+1: -7.320478e-01, T: 1.0000e-06, no:     381, try:     90000000
emin+1: -7.320508e-01, e+1: -7.320485e-01, T: 7.4928e-07, no:     111, try:     91500000
emin+1: -7.320508e-01, e+1: -7.320490e-01, T: 6.3096e-07, no:     136, try:     93000000
emin+1: -7.320508e-01, e+1: -7.320493e-01, T: 4.7276e-07, no:     326, try:     94500000
emin+1: -7.320508e-01, e+1: -7.320496e-01, T: 3.9811e-07, no:     266, try:     96000000
emin+1: -7.320508e-01, e+1: -7.320499e-01, T: 2.9829e-07, no:     297, try:     97500000
emin+1: -7.320508e-01, e+1: -7.320501e-01, T: 2.5119e-07, no:    1089, try:     99000000
emin+1: -7.320508e-01, e+1: -7.320502e-01, T: 1.8821e-07, no:     557, try:    100500000
emin+1: -7.320508e-01, e+1: -7.320503e-01, T: 1.5849e-07, no:     487, try:    102000000
emin+1: -7.320508e-01, e+1: -7.320504e-01, T: 1.1875e-07, no:     436, try:    103500000
