2 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 6.3096e-11, no:    1274, try:    206550000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 4.7276e-11, no:    2541, try:    208575000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 3.9811e-11, no:     567, try:    210600000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 2.9829e-11, no:     455, try:    212625000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 2.5119e-11, no:     214, try:    214650000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.8821e-11, no:    1410, try:    216675000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.5849e-11, no:     871, try:    218700000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.1875e-11, no:     366, try:    220725000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.0000e-11, no:     447, try:    222750000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 7.4928e-12, no:     468, try:    224775000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 6.3096e-12, no:     535, try:    226800000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 4.7276e-12, no:     691, try:    228825000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 3.9811e-12, no:     142, try:    230850000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 2.9829e-12, no:      23, try:    232875000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 2.5119e-12, no:      77, try:    234900000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.8821e-12, no:     174, try:    236925000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.5849e-12, no:      86, try:    238950000
emin+1: -7.416574e-01, e+1: -7.416574e-01, T: 1.1875e-12, no:     204, try:    240975000
